OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
24,530330117004009,62.1360969543457,89.7537117004395,86.8389625549316,0.179150495121332,0.185326120484754,3138.03492939367,53033011700,1,0,11526,0,99.9999999986734,Beacon/Gtown/S.Park,2100,30,"Seattle - South Beacon Hill, Georgetown, and South Park",Seattle,1,53033011700,177.7,3,81.9,3,0.059,2,0,0,0,0,0,0,1,0,1,4.9,33.6,15,0.7992,2.9919,2.907,0.9864,2.9468,9.8321,27.2,5,4,5,5,4,1,5,5,5,4,1,2,4,3,4,0,0,3,124062.382247925,2084.8824309009,0,2,Seattle,18.3,25.8745476477684,91.4,7.64872521246459,2,5,2
25,530330104012015,62.0713806152344,88.6883163452148,87.5189208984375,0.12952690437807,0.35844151122271,7911.89102991616,53033010401,1,81,32937,0,99.9999999991634,Beacon/Gtown/S.Park,2100,30,"Seattle - South Beacon Hill, Georgetown, and South Park",Seattle,1,53033010401,149.87,2,81.9,3,0.059,2,0,0,0,0,0,0,1,0,1,13.4,37.2,9.9,0.832,3.2269,2.5967,0.978,3.3987,10.2003,17.8,5,5,4,5,5,1,5,4,3,4,2,3,3,2,5,0,0,2,354523.669891357,3099.22889701524,0,2,Seattle,17.9,7.08092485549133,82.7,16.6349206349206,2,1,2
26,530330305011045,60.7189159393311,92.0580902099609,87.1229286193848,0.0652978244032951,0.129636383547752,20892.8278934695,53033030501,1,0,118748,0,100.000000000042,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030501,309.18,5,77.4,5,0.119,5,1,0,1,1,1,1,1,1,1,63.1,9.1,28.5,0.9367,3.5512,3.0548,0.7241,4.0357,11.3658,45.7,5,5,5,3,5,5,3,5,5,5,1,4,2,5,5,0,0,5,1278283.11357117,8526.51063854576,1,7,Auburn,11.9,34.2685370741483,9.4,90.5756207674944,1,5,5
27,530330258042005,62.3846549987793,89.2983779907227,87.6681289672852,0.175731836796602,0.445117999124213,17546.7068098201,53033025804,1,112,34454,0,100.000000000544,Renton-South,20200,19,Renton - South,Renton,1,53033025804,263.79,5,79.2,4,0.075,3,0,0,0,0,0,0,0,0,0,38.6,11.6,11,0.4191,2.2842,2.3547,0.6275,1.9524,7.2188,18.4,3,3,3,2,2,4,3,4,4,4,2,4,4,3,5,0,0,5,370858.963973999,2908.83643636622,0,5,Renton,17.6,17.5766641735228,93,6.31424375917768,2,4,1
28,530330258031000,62.1051254272461,89.4105072021484,87.1584167480469,0.14899342526328,0.482421756331581,18826.0939138986,53033025803,1,39,14369,0,99.9999999997373,Renton-South,20200,19,Renton - South,Renton,1,53033025803,285.09,5,79.2,4,0.075,3,0,0,0,0,0,0,0,0,0,42.5,16,12.6,0.8586,3.3222,2.7448,0.8824,3.4614,10.4108,28.9,5,5,4,4,5,5,4,5,4,4,3,4,3,3,5,0,0,5,154669.64125061,1629.65785975135,0,5,Renton,22.7,15.4481132075472,45.5,54.1619797525309,4,4,4
29,530330258031013,61.8928546905518,90.7474899291992,87.2165451049805,0.118884361204712,0.49847625679538,20194.1845549093,53033025803,1,98,32008,0,100.00000000127,Renton-South,20200,19,Renton - South,Renton,1,53033025803,285.09,5,79.2,4,0.075,3,0,0,0,0,0,0,0,0,0,42.5,16,12.6,0.8586,3.3222,2.7448,0.8824,3.4614,10.4108,28.9,5,5,4,4,5,5,4,5,4,4,3,4,3,5,5,0,0,5,344537.974807739,3172.90089400424,0,5,Renton,22.7,15.4481132075472,45.5,54.1619797525309,4,4,4
30,530330085001005,66.1830863952637,87.2402267456055,85.6681632995605,0,1,2609.73172624144,53033008500,1,0,7074,0,99.9999999997186,Downtown,2500,39,"Seattle - Downtown, Belltown, and First Hill",Seattle,1,53033008500,200.18,4,78.4,4,0.017,1,0,0,0,0,0,0,0,0,0,74.4,7.5,17.8,0.7195,2.5893,2.1971,0.7965,3.6066,9.1895,26.4,4,4,3,4,5,5,3,4,5,5,5,2,5,1,3,0,0,4,76143.130859375,1464.16234792171,0,8,Seattle,5.8,15.9420289855072,0,100,1,4,5
31,530330017022015,62.321870803833,88.4590835571289,85.7279891967773,0.233349859527351,0.604446157229566,6728.1257642663,53033001702,1,49,15177,0,99.9999999998707,NW Seattle,2800,52,Green Lake and Phinney Ridge,Seattle,1,53033001702,243.85,5,81.4,3,0.065,3,0,0,0,0,0,0,0,0,0,26.9,6.1,9.3,0.4253,1.56,2.0476,0.5466,3.0922,7.2464,13.2,3,2,2,2,4,3,2,2,3,3,4,3,4,2,3,0,0,5,163349.53717041,1668.23624005044,0,4,Seattle,13.2,5.85920419763883,54.3,45.6866537717602,1,1,4
32,530330017021003,62.206880569458,89.2256546020508,86.3117713928223,0.254637414779764,0.497934915837408,5759.22173156738,53033001702,1,64,16036,0,100.000000000062,NW Seattle,2800,52,Green Lake and Phinney Ridge,Seattle,1,53033001702,243.85,5,81.4,3,0.065,3,0,0,0,0,0,0,0,0,0,26.9,6.1,9.3,0.4253,1.56,2.0476,0.5466,3.0922,7.2464,13.2,3,2,2,2,4,3,2,2,3,3,3,3,4,3,4,0,0,5,172600.870605469,1830.60095778008,0,4,Seattle,13.2,5.85920419763883,54.3,45.6866537717602,1,1,4
33,530330017011008,62.6629543304443,89.2881927490234,86.2630805969238,0.299953088350274,0.468407541388913,7675.6181640625,53033001701,1,58,20052,0,100.00000000041,NW Seattle,2800,52,Green Lake and Phinney Ridge,Seattle,1,53033001701,192.18,4,81.4,3,0.065,3,0,0,0,0,0,0,0,0,0,17.2,8.5,9.8,0.362,2.4285,1.4151,0.6874,2.3063,6.8373,17.9,3,4,1,3,3,2,3,4,3,2,3,3,4,3,4,0,0,4,215820.607208252,1968.11733381387,0,4,Seattle,13.5,13.3173076923077,27,73.0442556995977,1,3,5
