OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
9587,530330316052017,56.1176834106445,90.2509536743164,84.5778961181641,0.539907453468618,0.130655039426436,64290.0859564216,53033031605,1,80,555522,1192,100.000000000084,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031605,148.5,2,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,6.1,4.5,13.5,0.0871,0.3253,2.4604,0.5206,1.3842,4.6905,2,1,1,4,2,1,1,2,1,5,1,1,5,1,4,2,0,0,2,5992910.82411194,11883.7917209867,0,9,Auburn,26.5,3.81471389645777,90.6,0,5,1,1
9588,530330281002000,64.9014854431152,93.7508239746094,85.9920616149902,0.0220596105753793,0.861820134994954,18662.9723632813,53033028100,1,0,21482,0,100.000000000453,SeaTac/Tukwila,22000,21,Tukwila,Tukwila,1,53033028100,206.9,4,78.4,4,0.11,5,0,0,0,0,0,0,1,0,1,23.9,37,13.5,0.948,3.8747,2.9041,0.9661,3.7366,11.4815,32,5,5,5,5,5,3,5,5,5,5,5,4,5,5,3,0,0,4,231231.543457031,2057.39206454568,0,5,Tukwila,21.9,15.6601842374616,45.8,54.230377166157,4,4,4
9589,530330302013017,59.5449066162109,87.4287033081055,84.9048919677734,0.238599594026971,0.361315658470038,4642.05746837798,53033030201,1,104,31197,0,99.9999999995921,Fed Way-Central/Military Rd,10100,6,Federal Way - Central,Federal Way,1,53033030201,317.35,5,76.6,5,0.089,4,0,0,0,0,0,0,0,0,0,23.2,13.8,8.7,0.7709,3.6962,2.2451,0.8265,2.8168,9.5846,20.6,5,5,3,4,4,3,4,4,3,3,2,2,2,1,2,0,0,5,335828.23538208,2816.68787328638,0,7,Federal Way,17.3,8.41535433070866,62.4,36.4593301435407,2,1,3
9590,530330302011006,59.2055473327637,87.7891387939453,84.2756843566895,0.367605984550329,0.405513810538781,5177.07288818359,53033030201,1,135,85597,0,100.00000000014,Fed Way-Central/Military Rd,10100,6,Federal Way - Central,Federal Way,1,53033030201,317.35,5,76.6,5,0.089,4,0,0,0,0,0,0,0,0,0,23.2,13.8,8.7,0.7709,3.6962,2.2451,0.8265,2.8168,9.5846,20.6,5,5,3,4,4,3,4,4,3,2,2,2,2,1,2,0,0,5,921428.543884277,4425.65356888652,0,7,Federal Way,17.3,8.41535433070866,62.4,36.4593301435407,2,1,3
9591,530330302013019,59.6726112365723,88.2756958007813,85.2570343017578,0.28918410627826,0.31001605591827,3888.23688173966,53033030201,1,49,20893,0,99.9999999996853,Fed Way-Central/Military Rd,10100,6,Federal Way - Central,Federal Way,1,53033030201,317.35,5,76.6,5,0.089,4,0,0,0,0,0,0,0,0,0,23.2,13.8,8.7,0.7709,3.6962,2.2451,0.8265,2.8168,9.5846,20.6,5,5,3,4,4,3,4,4,3,2,2,2,2,1,3,0,0,5,224904.480484009,2115.54163217815,0,7,Federal Way,17.3,8.41535433070866,62.4,36.4593301435407,2,1,3
9592,530330302011008,58.6669464111328,88.4983444213867,84.6820907592773,0.236822278032206,0.452480392264877,5399.15479727671,53033030201,1,93,28299,0,100.000000000023,Fed Way-Central/Military Rd,10100,6,Federal Way - Central,Federal Way,1,53033030201,317.35,5,76.6,5,0.089,4,0,0,0,0,0,0,0,0,0,23.2,13.8,8.7,0.7709,3.6962,2.2451,0.8265,2.8168,9.5846,20.6,5,5,3,4,4,3,4,4,3,3,2,2,2,2,2,0,0,5,304631.984893799,2180.51619051659,0,7,Federal Way,17.3,8.41535433070866,62.4,36.4593301435407,2,1,3
9593,530330302013008,60.0027313232422,88.9329833984375,85.921516418457,0.227890547325128,0.399846438858407,3902.44131916325,53033030201,1,125,33844,0,100.000000000836,Fed Way-Central/Military Rd,10100,6,Federal Way - Central,Federal Way,1,53033030201,317.35,5,76.6,5,0.089,4,0,0,0,0,0,0,0,0,0,23.2,13.8,8.7,0.7709,3.6962,2.2451,0.8265,2.8168,9.5846,20.6,5,5,3,4,4,3,4,4,3,3,2,2,2,2,3,21.7566514414873,1,5,364319.863479614,2999.92408926719,0,7,Federal Way,17.3,8.41535433070866,62.4,36.4593301435407,2,1,3
9594,530330303083007,58.7581939697266,89.5648727416992,85.0827026367188,0.42159596999108,0.299046613343974,9971.48172034748,53033030308,1,218,129577,0,100.000000000023,Fed Way-Central/Military Rd,10100,6,Federal Way - Central,Federal Way,1,53033030308,269.2,5,76.6,5,0.089,4,0,0,0,0,0,0,0,0,0,15.5,16.7,9.3,0.7319,3.4072,2.2437,0.9124,2.7059,9.2692,30.2,4,5,3,5,3,2,4,5,3,1,2,3,2,3,2,0,0,5,1394859.46800232,4488.77000392867,0,7,Federal Way,25.2,21.7996289424861,49.3,50.7362784471218,5,5,4
9595,530330301021005,59.9717903137207,89.901050567627,86.9631843566895,0.0968468468468468,0.584338515982979,943.996326232225,53033030102,1,27,8725,0,99.9999999994565,Fed Way-Dash Pt,10200,7,Federal Way - North Corridor,Federal Way,1,53033030100,182.42,3,77.5,5,0.114,5,0,0,0,0,0,0,0,0,0,24,8.6,9.8,0.3218,1.9868,2.3325,0.4319,1.8195,6.5707,12.3,2,3,3,2,2,3,3,2,3,5,4,1,2,4,5,0,0,3,93918.1630401611,1359.58382405363,0,7,Federal Way,9.6,11.7988394584139,87,8.48240046162724,1,2,2
9596,530330301023013,61.5659503936768,89.6106910705566,85.8498001098633,0.352990409286116,0.365227428327489,4179.70895406789,53033030102,1,19,15226,0,100.000000000391,Fed Way-Dash Pt,10200,7,Federal Way - North Corridor,Federal Way,1,53033030100,182.42,3,77.5,5,0.114,5,0,0,0,0,0,0,0,0,0,24,8.6,9.8,0.3218,1.9868,2.3325,0.4319,1.8195,6.5707,12.3,2,3,3,2,2,3,3,2,3,2,2,2,3,3,3,0,0,3,163897.876647949,1644.76804225174,0,7,Federal Way,9.6,11.7988394584139,87,8.48240046162724,1,2,2
9597,530330302013024,60.9264793395996,90.2233695983887,85.6793556213379,0.201411137469735,0.403376656711844,3518.41953943506,53033030201,1,35,17093,0,100.000000000834,Fed Way-Central/Military Rd,10100,6,Federal Way - Central,Federal Way,1,53033030201,317.35,5,76.6,5,0.089,4,0,0,0,0,0,0,0,0,0,23.2,13.8,8.7,0.7709,3.6962,2.2451,0.8265,2.8168,9.5846,20.6,5,5,3,4,4,3,4,4,3,3,2,2,2,4,3,74.3460366766903,1,5,183996.765213013,1724.92777937114,0,7,Federal Way,17.3,8.41535433070866,62.4,36.4593301435407,2,1,3
9598,530330030004013,59.6816215515137,83.6053009033203,81.3192405700684,0.297737737238118,0.534978257515349,5689.42238943917,53033003000,1,74,16753,0,99.9999999995513,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003000,155.82,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,37.4,4.2,5.1,0.0707,0.6441,1.766,0.3177,1.7611,4.4889,11.4,1,1,2,1,2,4,2,2,1,2,3,3,2,1,1,0,0,2,180313.870056152,1895.38314441998,0,4,Seattle,20,6.86456400742115,75.7,23.9098837209302,3,1,3
9599,530330032021012,62.1974086761475,87.410026550293,84.3736114501953,0.274129406706793,0.59907606422157,4173.53762817383,53033003202,1,83,15559,0,100.00000000062,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003200,107.37,1,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,39.7,0,6.2,0.0588,0.9489,1.6881,0.3742,1.3513,4.3625,5.3,1,1,2,1,1,4,1,1,1,3,4,2,4,1,2,0,0,1,167464.544158936,1796.7103304475,0,4,Seattle,21.1,8.58725761772853,69,31.0483870967742,3,1,3
9600,530330033012004,61.3745212554932,86.3706283569336,84.0832557678223,0.175142674436843,0.704617104371929,5127.04527698864,53033003301,1,155,17325,0,99.9999999991091,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003300,146.86,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,9.9,1.6,9.8,0.1669,1.3594,0.6191,0.4556,2.9994,5.4335,13.8,2,2,1,2,4,1,1,3,3,4,5,2,3,1,1,0,0,2,186478.584136963,1933.77924996455,0,4,Seattle,14.1,15.2112676056338,30.6,69.3548387096774,1,4,5
9601,530330032013004,61.6563739776611,86.8247909545898,84.2817344665527,0.131148350156717,0.868790175309982,4634.62765289112,53033003201,1,463,16940,0,99.9999999995614,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003200,107.37,1,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,49.4,0,6.3,0.1216,1.3654,1.1934,0.4573,2.048,5.0641,10.4,1,2,1,2,2,5,1,2,2,4,5,2,3,1,2,0,0,1,182331.71194458,1846.94327719952,0,4,Seattle,8.7,13.8293874483277,16.4,81.7140746213521,1,3,5
9602,530330032011000,60.8606643676758,86.2559814453125,83.8304748535156,0.0379855179143058,0.858686034356384,4729.31310763889,53033003201,1,14,12212,0,99.9999999985835,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003200,107.37,1,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,49.4,0,6.3,0.1216,1.3654,1.1934,0.4573,2.048,5.0641,10.4,1,2,1,2,2,5,1,2,2,5,5,2,2,1,1,0,0,1,131442.687347412,1739.80085830891,0,4,Seattle,8.7,13.8293874483277,16.4,81.7140746213521,1,3,5
9603,530330033013014,60.2496452331543,86.569206237793,83.099967956543,0.191486285796896,0.658347911207537,5736.39141689203,53033003301,1,98,15906,0,100.000000001328,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003300,146.86,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,9.9,1.6,9.8,0.1669,1.3594,0.6191,0.4556,2.9994,5.4335,13.8,2,2,1,2,4,1,1,3,3,4,4,3,2,1,1,0,0,2,171198.234405518,1820.91992884015,0,4,Seattle,14.1,15.2112676056338,30.6,69.3548387096774,1,4,5
9604,530330033011005,60.4830837249756,86.6718978881836,83.1282196044922,0.21059902889181,0.626083083111675,5918.79914293791,53033003301,1,72,15585,0,100.000000001203,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003300,146.86,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,9.9,1.6,9.8,0.1669,1.3594,0.6191,0.4556,2.9994,5.4335,13.8,2,2,1,2,4,1,1,3,3,3,4,3,2,1,1,0,0,2,167747.704467773,1790.47132280393,0,4,Seattle,14.1,15.2112676056338,30.6,69.3548387096774,1,4,5
9605,530330033012010,60.4883861541748,85.675365447998,82.6090278625488,0.263463555322496,0.624417855866922,5791.15747375488,53033003301,1,97,15946,0,100.00000000054,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003300,146.86,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,9.9,1.6,9.8,0.1669,1.3594,0.6191,0.4556,2.9994,5.4335,13.8,2,2,1,2,4,1,1,3,3,3,4,3,2,1,1,0,0,2,171628.660186768,1822.45195903171,0,4,Seattle,14.1,15.2112676056338,30.6,69.3548387096774,1,4,5
9606,530330047012004,64.2207069396973,87.3621292114258,85.2232284545898,0.225472459573047,0.894284227136265,5569.70196174173,53033004701,1,0,7510,0,100.000000000743,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033004700,160.63,3,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,82.5,7,13.2,0.6917,3.2561,1.6556,0.5037,3.6111,9.0265,17.5,4,5,2,2,5,5,2,4,5,3,5,2,5,1,2,0,0,3,80833.3612365723,1372.24874863089,0,4,Seattle,5.6,21.3100436681223,1.1,97.5550122249389,1,5,5
9607,530330047012012,63.7821350097656,86.9841537475586,85.0493278503418,0.0825262308313156,1,6452.85115697828,53033004701,1,15,6218,0,99.9999999998492,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033004700,160.63,3,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,82.5,7,13.2,0.6917,3.2561,1.6556,0.5037,3.6111,9.0265,17.5,4,5,2,2,5,5,2,4,5,5,5,3,5,1,2,0,0,3,66920.7233581543,1195.82939166419,0,4,Seattle,5.6,21.3100436681223,1.1,97.5550122249389,1,5,5
9608,530330047012013,63.7014656066895,87.1152763366699,85.0263671875,0.182222434732715,0.912411129733522,6717.71043346774,53033004701,1,64,8743,0,99.9999999979931,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033004700,160.63,3,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,82.5,7,13.2,0.6917,3.2561,1.6556,0.5037,3.6111,9.0265,17.5,4,5,2,2,5,5,2,4,5,4,5,3,5,1,2,0,0,3,94106.6994628906,1401.27215965168,0,4,Seattle,5.6,21.3100436681223,1.1,97.5550122249389,1,5,5
9609,530330030004002,61.7462749481201,86.3996734619141,83.1467628479004,0.261898669396111,0.534095171050501,5890.52446899414,53033003000,1,70,16334,0,100.000000000668,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003000,155.82,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,37.4,4.2,5.1,0.0707,0.6441,1.766,0.3177,1.7611,4.4889,11.4,1,1,2,1,2,4,2,2,1,3,3,3,3,1,1,0,0,2,175811.363006592,1859.39578165786,0,4,Seattle,20,6.86456400742115,75.7,23.9098837209302,3,1,3
9610,530330030004009,62.0374317169189,87.2003135681152,83.6876792907715,0.177862064605854,0.711037636289271,6428.25934166823,53033003000,1,62,16532,0,99.9999999996485,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003000,155.82,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,37.4,4.2,5.1,0.0707,0.6441,1.766,0.3177,1.7611,4.4889,11.4,1,1,2,1,2,4,2,2,1,4,5,3,3,1,1,0,0,2,177942.760742188,1868.43958326057,0,4,Seattle,20,6.86456400742115,75.7,23.9098837209302,3,1,3
9611,530330030004010,61.5676231384277,86.7711791992188,82.9759826660156,0.263594184967522,0.665048714513402,6470.49514954349,53033003000,1,92,16897,0,99.9999999979718,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003000,155.82,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,37.4,4.2,5.1,0.0707,0.6441,1.766,0.3177,1.7611,4.4889,11.4,1,1,2,1,2,4,2,2,1,3,4,3,3,1,1,0,0,2,181863.369354248,1905.99292879622,0,4,Seattle,20,6.86456400742115,75.7,23.9098837209302,3,1,3
9612,530330033011007,60.1427097320557,85.8321800231934,82.6189613342285,0.308855825189415,0.567324294129723,6658.05350211281,53033003301,1,80,15230,0,99.9999999984715,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003300,146.86,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,9.9,1.6,9.8,0.1669,1.3594,0.6191,0.4556,2.9994,5.4335,13.8,2,2,1,2,4,1,1,3,3,2,4,3,2,1,1,0,0,2,163927.40612793,1776.74577291412,0,4,Seattle,14.1,15.2112676056338,30.6,69.3548387096774,1,4,5
9613,530330320072009,59.0173664093018,90.5480766296387,86.4309692382813,0.27278558689502,0.433938661123818,58899.5709518323,53033032007,1,123,56370,0,99.9999999999925,Covington/Maple Valley,8000,11,Covington,Covington,1,53033032007,291.21,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,6.8,2.5,10.2,0.1618,1.556,2.5597,0.0622,1.226,5.4039,9.09999999999999,2,2,4,1,1,1,1,2,4,3,2,5,2,5,4,0,0,5,606795.438140869,3169.78673023972,0,9,Kent,25.8,13.6690647482014,85.5,11.9167264895908,5,3,2
9614,530330250082006,58.2657241821289,89.548454284668,85.3753280639648,0.337942682218821,0.448611314536128,4976.00387439144,53033025008,1,144,75254,0,100.000000000404,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033025003,142.78,2,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.2,9.8,12.9,0.0984,1.3,2.1556,0.7394,0.6331,4.8281,4.09999999999999,1,2,3,3,1,2,3,1,4,2,2,2,1,3,3,0,0,2,810010.778259277,4369.53217830464,0,9,Issaquah,20.6,2.83687943262411,97.4,2.57611241217799,3,1,1
9615,530330292032035,61.9806289672852,88.7258338928223,85.4723701477051,0.202745124997136,0.435057079190367,24496.298093078,53033029203,1,22,9121,0,99.9999999983497,Kent-SE,14100,12,Kent - Central,Kent,1,53033029203,241.06,5,77.7,5,0.102,4,1,0,0,1,1,1,0,1,1,30.2,11,14.5,0.8411,3.2396,2.4752,0.8813,3.6742,10.2703,33.1,5,5,4,4,5,4,3,5,5,3,2,4,3,2,3,0,0,5,98184.8176879883,1262.00447472922,0,5,Kent,19.2,17.675050985724,31.8,68.1818181818182,3,4,5
9616,530330292032001,61.8996543884277,90.5347785949707,87.2618026733398,0.310605430489788,0.375979848469194,26229.7607168049,53033029203,1,102,72875,0,100.000000000134,Kent-SE,14100,12,Kent - Central,Kent,1,53033029203,241.06,5,77.7,5,0.102,4,1,0,0,1,1,1,0,1,1,30.2,11,14.5,0.8411,3.2396,2.4752,0.8813,3.6742,10.2703,33.1,5,5,4,4,5,4,3,5,5,2,2,5,3,5,5,0,0,5,784456.936294556,4047.38302373575,0,5,Kent,19.2,17.675050985724,31.8,68.1818181818182,3,4,5
9617,530330295051003,61.545280456543,89.9511795043945,87.8720359802246,0.218673518091621,0.444691130895376,28267.3249064701,53033029505,1,69,20580,0,100.000000001137,Kent-SE,14100,12,Kent - Central,Kent,1,53033029503,358.02,5,77.7,5,0.102,4,1,0,0,0,0,0,1,0,1,7.7,22.8,6.4,0.8614,3.8152,2.7446,0.9497,2.9201,10.4296,46,5,5,4,5,4,1,5,5,2,3,2,5,3,4,5,0,0,5,221529.041519165,1993.97628955091,0,5,Kent,24,23.8028169014084,25.8,72.7272727272727,4,5,5
9618,530330297012005,62.444034576416,91.2655334472656,89.3159866333008,0.102169556935408,0.788895024226528,21077.6639113653,53033029701,1,143,16904,0,99.9999999998105,Kent-SE,14100,9,Kent - South,Kent,1,53033029700,182.49,3,77.7,5,0.083,4,1,0,0,0,1,1,0,1,1,48.1,14.3,16.5,0.9751,4.2315,3.2089,0.775,3.8454,12.0608,31.4,5,5,5,3,5,5,4,5,5,5,5,4,4,5,5,0,0,3,181960.838394165,1726.16717348482,0,5,Kent,20.1,21.5878194671017,48.7,51.244019138756,3,5,4
9619,530330058041019,61.8747444152832,87.0518341064453,83.4616012573242,0,0.949399180700876,172.081842041016,53033005804,1,0,2055,0,99.9999999995654,QA/Magnolia,2900,45,Magnolia and Interbay,Seattle,1,53033005802,129.86,2,85.1,1,0.035,1,0,0,0,0,0,0,0,0,0,64.8,2.1,9.2,0.5995,2.9975,1.1493,0.5523,3.6817,8.3808,14,4,4,1,2,5,5,1,3,3,5,5,1,3,1,1,0,0,2,22123.4654846191,771.187881449282,0,4,Seattle,7.6,13.5204081632653,8.1,91.85360094451,1,3,5
9620,530330297012014,62.1848621368408,91.8191070556641,89.7636451721191,0.175167829406345,0.753469708702743,21722.2190268209,53033029701,1,30,12711,0,99.9999999996114,Kent-SE,14100,9,Kent - South,Kent,1,53033029700,182.49,3,77.7,5,0.083,4,1,0,0,0,1,1,0,1,1,48.1,14.3,16.5,0.9751,4.2315,3.2089,0.775,3.8454,12.0608,31.4,5,5,5,3,5,5,4,5,5,4,5,4,4,5,5,0,0,3,136833.636184692,1493.58152473811,0,5,Kent,20.1,21.5878194671017,48.7,51.244019138756,3,5,4
9621,530330297012019,63.2103500366211,91.784797668457,89.855094909668,0.0517289169149747,0.875875634337599,22648.3321614583,53033029701,1,18,6033,0,100.000000001815,Kent-SE,14100,9,Kent - South,Kent,1,53033029700,182.49,3,77.7,5,0.083,4,1,0,0,0,1,1,0,1,1,48.1,14.3,16.5,0.9751,4.2315,3.2089,0.775,3.8454,12.0608,31.4,5,5,5,3,5,5,4,5,5,5,5,4,5,5,5,0,0,3,64940.7264709473,1158.42045573836,0,5,Kent,20.1,21.5878194671017,48.7,51.244019138756,3,5,4
9622,530330297012020,62.4158267974854,92.2030448913574,89.785530090332,0.051501562712325,0.771383704417017,22569.6903409091,53033029701,1,27,10769,0,100.000000001226,Kent-SE,14100,9,Kent - South,Kent,1,53033029700,182.49,3,77.7,5,0.083,4,1,0,0,0,1,1,0,1,1,48.1,14.3,16.5,0.9751,4.2315,3.2089,0.775,3.8454,12.0608,31.4,5,5,5,3,5,5,4,5,5,5,5,4,4,5,5,0,0,3,115926.742431641,1758.79658813766,0,5,Kent,20.1,21.5878194671017,48.7,51.244019138756,3,5,4
9623,530330306003010,60.5980072021484,92.5023803710938,89.8971824645996,0.160655246696695,0.586039777508374,29913.9184544477,53033030600,1,53,18145,0,100.000000000436,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030600,320.24,5,77.4,5,0.119,5,0,0,0,0,0,0,0,0,0,20.5,8.7,13.8,0.7404,3.5283,2.7743,0.6546,2.3719,9.3291,29.9,4,5,4,3,3,3,3,5,5,4,4,5,2,5,5,0,0,5,195324.625366211,1858.20895179589,0,7,Auburn,27.3,10.2608695652174,60.3,38.9025389025389,5,2,3
9624,530330307002004,61.5475749969482,92.1521606445313,89.8404312133789,0.06885790848343,0.681017680303837,29798.4310497637,53033030700,1,26,12324,0,100.000000001073,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030700,286.22,5,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,47.6,21.8,20.1,0.9649,3.9953,3.3452,0.8886,3.5599,11.789,25.4,5,5,5,4,5,5,5,4,5,5,5,5,3,5,5,0,0,5,132660.285644531,1489.92954319061,0,7,Auburn,20.3,21.0022522522523,45.2,54.222972972973,3,5,4
9625,530330304053001,55.743278503418,89.6646270751953,81.6177825927734,0.520736978358452,0.412399004921167,21645.9090187156,53033030405,1,0,27617,0,99.999999999543,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030401,185.65,3,77.4,5,0.119,5,0,0,0,0,0,0,0,0,0,35.9,6.9,10.9,0.379,2.3282,2.1156,0.2979,2.2135,6.9552,18.9,3,3,3,1,2,4,2,4,4,1,2,4,1,3,1,0,0,3,297284.907546997,5594.70813633108,0,7,Auburn,24.4,6.71875,90.5,1.71875,4,1,1
9626,530330307002006,61.5166664123535,91.5202217102051,89.6821556091309,0.0743715301603144,0.753601648621733,30547.2561217351,53033030700,1,38,13402,0,100.000000000419,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030700,286.22,5,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,47.6,21.8,20.1,0.9649,3.9953,3.3452,0.8886,3.5599,11.789,25.4,5,5,5,4,5,5,5,4,5,5,5,5,3,5,5,0,0,5,144267.200317383,1692.8627486318,0,7,Auburn,20.3,21.0022522522523,45.2,54.222972972973,3,5,4
9627,530330307002025,60.4742126464844,91.8543548583984,89.8238754272461,0.0834300539359596,0.597067713232421,31085.9534746335,53033030700,1,59,15312,0,99.9999999993175,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030700,286.22,5,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,47.6,21.8,20.1,0.9649,3.9953,3.3452,0.8886,3.5599,11.789,25.4,5,5,5,4,5,5,5,4,5,5,4,5,2,5,5,0,0,5,164832.225616455,1721.36535031038,0,7,Auburn,20.3,21.0022522522523,45.2,54.222972972973,3,5,4
9628,530330306003012,60.4708099365234,92.6049957275391,90.2137603759766,0.178365709291701,0.582154140432166,30389.8557350852,53033030600,1,73,15786,0,100.00000000014,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030600,320.24,5,77.4,5,0.119,5,0,0,0,0,0,0,0,0,0,20.5,8.7,13.8,0.7404,3.5283,2.7743,0.6546,2.3719,9.3291,29.9,4,5,4,3,3,3,3,5,5,4,4,5,2,5,5,58.8869866119163,1,5,169927.503936768,1787.53961853858,0,7,Auburn,27.3,10.2608695652174,60.3,38.9025389025389,5,2,3
9629,530330306003014,60.155179977417,92.8144493103027,90.2268753051758,0.216693068225269,0.599398285824543,30797.9482250548,53033030600,1,56,11480,0,100.00000000061,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030600,320.24,5,77.4,5,0.119,5,0,0,0,0,0,0,0,0,0,20.5,8.7,13.8,0.7404,3.5283,2.7743,0.6546,2.3719,9.3291,29.9,4,5,4,3,3,3,3,5,5,3,4,5,2,5,5,64.740594169042,1,5,123577.263656616,1652.9140061979,0,7,Auburn,27.3,10.2608695652174,60.3,38.9025389025389,5,2,3
9630,530330307001003,61.0984992980957,90.1976623535156,88.6577682495117,0.145685519291844,0.504837021525861,31896.5821614583,53033030700,1,32,9276,0,99.999999999732,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030700,286.22,5,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,47.6,21.8,20.1,0.9649,3.9953,3.3452,0.8886,3.5599,11.789,25.4,5,5,5,4,5,5,5,4,5,4,3,5,2,4,5,0,0,5,99857.9697113037,1259.38427359734,0,7,Auburn,20.3,21.0022522522523,45.2,54.222972972973,3,5,4
9631,530330307002021,60.855489730835,91.7997283935547,90.1696090698242,0.116006751361509,0.530213836174776,32588.724202474,53033030700,1,99,43714,0,100.000000000471,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030700,286.22,5,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,47.6,21.8,20.1,0.9649,3.9953,3.3452,0.8886,3.5599,11.789,25.4,5,5,5,4,5,5,5,4,5,4,3,5,2,5,5,0,0,5,470572.404891968,3348.86436456001,0,7,Auburn,20.3,21.0022522522523,45.2,54.222972972973,3,5,4
